Ubigeo,Densidad
150101,12197.82
150102,220.80
150103,7682.00
150104,11459.33
150105,28436.33
150106,1099.16
150107,1072.80
150108,8057.46
150109,144.52
150110,10621.43
150111,15297.08
150112,14090.67
150113,15071.80
150114,2131.50
150115,19292.22
150116,18237.00
150117,18104.67
150118,1020.40
150119,495.53
150120,15072.50
150121,20830.75
150122,9933.70
150123,687.94
150124,402.46
150125,4516.10
150126,132.28
150127,54.00
150128,14565.42
150129,166.27
150130,11324.70
150131,5521.36
150132,7927.44
150133,15444.30
150134,17360.67
150135,17677.92
150136,14125.82
150137,17837.64
150138,99.90
150139,1326.81
150140,9143.11
150141,30341.00
150142,11235.83
150143,5611.73
150200,105.39
150201,429.71
150202,52.45
150203,62.48
150204,47.40
150205,1071.25
150300,4.33
150301,3.67
150302,4.05
150303,5.39
150304,6.74
150305,3.45
150400,6.67
150401,19.39
150402,4.45
150403,1.41
150404,2.28
150405,6.20
150406,5.24
150407,14.00
150500,52.46
150501,106.77
150502,35.32
150503,4.27
150504,79.31
150505,45.42
150506,1.76
150507,734.43
150508,8.79
150509,253.62
150510,79.74
150511,6.51
150512,36.82
150513,117.38
150514,344.51
150515,31.03
150516,6.64
150600,50.14
150601,155.87
150602,1.97
150603,5.47
150604,26.70
150605,379.47
150606,4.35
150607,2.32
150608,3.50
150609,13.50
150610,3.82
150611,2.78
150612,2.01
150700,10.28
150701,22.67
150702,3.16
150703,14.00
150704,1.41
150705,15.68
150706,7.48
150707,8.01
150708,3.85
150709,5.23
150710,7.51
150711,10.98
150712,6.34
150713,8.03
150714,186.91
150715,15.90
150716,1.62
150717,25.89
150718,3.50
150719,5.64
150720,2.73
150721,2.61
150722,9.96
150723,10.77
150724,11.60
150725,5.00
150726,7.68
150727,59.19
150728,113.84
150729,3.40
150730,7.61
150731,5.66
150732,13.66
150800,46.45
150801,88.06
150802,2.37
150803,4066.00
150804,5.60
150805,4794.17
150806,71.83
150807,6.22
150808,6.62
150809,2.07
150810,283.34
150811,17.86
150812,102.02
150900,9.39
150901,13.65
150902,3.69
150903,5.43
150904,4.08
150905,3.77
150906,10.02
151000,2.97
151001,4.53
151002,10.80
151003,2.61
151004,2.36
151005,5.50
151006,2.37
151007,1.33
151008,8.56
151009,3.76
151010,7.71
151011,3.42
151012,3.18
151013,2.76
151014,2.10
151015,12.74
151016,1.82
151017,11.37
151018,1.35
151019,2.02
151020,2.58
151021,1.01
151022,2.01
151023,7.55
151024,5.39
151025,2.80
151026,4.05
151027,2.84
151028,1.46
151029,0.94
151030,1.74
151031,1.66
151032,9.84
151033,3.05
160000,2.40
160100,6.39
160101,410.20
160102,0.20
160103,3.10
160104,3.07
160105,1.22
160106,1.23
160107,0.62
160108,47.81
160110,0.62
160112,101.88
160113,40.75
160200,6.51
160201,38.19
160202,4.64
160205,0.92
160206,2.03
160210,1.79
160211,4.31
160300,0.93
160301,4.49
160302,0.47
160303,0.33
160304,0.69
160305,0.75
160400,1.32
160401,2.68
160402,1.00
160403,0.61
160404,2.07
160500,1.18
160501,8.33
160502,0.17
160503,3.05
160504,1.33
160505,1.52
160506,0.71
160507,1.62
160508,0.12
160509,0.44
160510,3.04
160511,0.18
160600,1.87
160601,2.24
160602,2.69
160603,1.49
160604,0.73
160605,2.14
160606,3.50
160700,1.04
160701,1.76
160702,1.35
160703,2.41
160704,0.39
160705,0.57
160706,1.01
160800,0.17
160801,0.34
160802,0.07
160803,0.24
160804,0.07
170000,1.65
170100,3.07
170101,3.69
170102,2.72
170103,1.80
170104,1.93
170200,0.67
170201,0.29
170202,0.13
170203,0.86
170204,5.80
170300,0.52
170301,0.16
170302,2.27
170303,0.76
180000,11.11
180100,9.84
180101,16.66
180102,1.05
180103,11.19
180104,134.60
180105,3.20
180106,3.46
180200,2.62
180201,12.58
180202,0.83
180203,3.82
180204,2.85
180205,0.81
180206,2.24
180207,0.82
180208,4.31
180209,2.67
180210,1.99
180211,7.78
180300,54.05
180301,224.59
180302,4.98
180303,13.17
190000,10.15
190100,22.89
190101,3661.00
190102,5.12
190103,52.07
190104,9.33
190105,7.62
190106,23.49
190107,14.34
190108,37.79
190109,18.17
190110,4.36
190111,71.86
190112,19.61
190113,176.92
190200,23.12
190201,12.31
190202,10.08
190203,66.74
190204,13.25
190205,14.65
190206,60.10
190207,40.43
190208,19.01
190300,4.92
190301,37.33
190302,11.67
190303,5.64
190304,2.45
190305,6.01
190306,2.15
190307,20.11
190308,4.30
200000,52.08
200100,131.53
200101,808.65
200104,243.84
200105,33.17
200107,86.04
200108,53.34
200109,226.51
200110,130.04
200111,48.29
200114,71.81
200115,2302.49
200200,22.85
200201,19.90
200202,35.21
200203,22.90
200204,30.02
200205,47.17
200206,21.65
200207,30.07
200208,39.36
200209,50.12
200210,10.36
200300,26.13
200301,61.74
200302,23.91
200303,15.91
200304,18.63
200305,27.85
200306,42.96
200307,21.19
200308,44.96
200400,42.72
200401,98.01
200402,38.41
200403,51.24
200404,13.41
200405,89.64
200406,13.89
200407,26.26
200408,47.40
200409,31.87
200410,39.18
200500,75.17
200501,124.62
200502,26.52
200503,142.00
200504,118.95
200505,21.58
200506,76.92
